"customer_id","cpf","first_name","last_name","state","city","birth_date","income","score","professional_status","email","mobile"
"73650706FFAE","84932586604","IVONELIA","ARGULINO","SP","SÃO PAULO","1973-01-24",7000,491,"clt","ivonelia.argulino265830@gmail.com","69262265830"
"236A739A6063","05912702104","ESTEVANIA","MARTHUS","SP","SÃO PAULO","1969-06-30",5800,376,"clt","estevania.marthus204682@gmail.com","40632204682"
"CF2DFCBE74E3","85148454740","CLEUDINE","DUARTE","MG","BELO HORIZONTE","1945-12-25",3190,279,"clt","cleudine.duarte661670@gmail.com","81639661670"
"25504A496AEB","12430594512","ADEIZE","LUZILDO","SC","NAVEGANTES","1948-03-25",11000,309,"civil_servant","adeize.luzildo797118@gmail.com","21943797118"
"05DE6BCDFEC7","01571615400","SHEYLLA","JESKA","SP","CARAPICUÍBA","1963-10-31",6000,305,"clt","sheylla.jeska608366@gmail.com","65148608366"
"CF65A8E9C692","12191189380","NACLECIA","GENAI","SP","SÃO PAULO","1959-10-22",6000,486,"other","naclecia.genai578212@gmail.com","25706578212"
"AC89FF38B365","43696945874","JUVENIL","DHIOVANE","SC","GARUVA","1952-05-27",6500,564,"other","juvenil.dhiovane446542@gmail.com","27845446542"
"1D4EF6B29AFF","99373641602","HARINA","DUARTE","SP","SERTÃOZINHO","1982-04-15",6000,600,"clt","harina.duarte626566@gmail.com","63866626566"
"F21B059B9F17","54697671582","EDIVALDINA","LAURICIO","SP","PRAIA GRANDE","1987-07-10",6000,315,"clt","edivaldina.lauricio861802@gmail.com","71908861802"
"DC3D147117FA","14154880400","AURETE","DUARTE","MG","BELO HORIZONTE","1998-06-13",5900,344,"retired","aurete.duarte848990@gmail.com","87831848990"
"396D41F99C9C","02211793880","VLADEMIR","URIELE","SP","GUARULHOS","1972-12-27",6500,485,"clt","vlademir.uriele429336@gmail.com","48677429336"
"702ACBD43CA6","54991047250","REIDISON","EVANUCIA","MG","CÓRREGO DO BOM JESUS","1987-11-16",7000,309,"businessman","reidison.evanucia629692@gmail.com","21043629692"
"52A9C7E2441F","28713766728","LYS","DUARTE","SP","PERUÍBE","2002-12-05",10000,269,"clt","lys.duarte485902@gmail.com","73369485902"
"E82E5C777CE7","49182120516","JENEFE","PAULEMAR","SP","JUNQUEIRÓPOLIS","2002-02-08",5700,390,"clt","jenefe.paulemar720760@gmail.com","43682720760"
"8A5040BFAB7F","64111786218","IZANITA","GENAI","SP","SÃO PAULO","1947-03-27",5800,335,"businessman","izanita.genai853732@gmail.com","85885853732"
"E8FCDD91F72A","99665730898","EVANDIR","LAURICIO","SP","COTIA","1945-09-15",10000,337,"self_employed","evandir.lauricio747350@gmail.com","94317747350"
"EE33C47335C7","26609634568","DALMIR","LAURICIO","MG","BELO HORIZONTE","1985-07-13",6000,245,"clt","dalmir.lauricio995880@gmail.com","55847995880"
"A17D82741504","69512163922","ALBANIRA","LORRENE","SP","VOTORANTIM","1981-06-01",5000,334,"clt","albanira.lorrene385754@gmail.com","29295385754"
"97DD100EB27C","50545830086","SYBELLE","JARDESOM","SC","CAMBORIÚ","1985-03-29",7500,389,"clt","sybelle.jardesom906220@gmail.com","13210906220"
"7C01785F6A0C","61828931114","NILZETH","FRANCILU","SP","SANTO ANDRÉ","1978-07-30",12000,252,"other","nilzeth.francilu320500@gmail.com","35463320500"
"A7BFC984A2C9","36004109412","LAURIMAR","DUARTE","SP","ITAQUAQUECETUBA","1995-07-27",7000,538,"clt","laurimar.duarte942588@gmail.com","90263942588"
"D364A67E037C","32543519668","IRONICE","FRANCILU","SP","MOGI DAS CRUZES","1997-12-30",6000,230,"freelancer","ironice.francilu917800@gmail.com","52138917800"
"D8C3C3A88992","40127609412","EROM","DIVONI","SP","SÃO PAULO","1989-04-26",10000,356,"other","erom.divoni522548@gmail.com","46001522548"
"F9C49F829499","97256885196","CLEZIO","LAURICIO","SP","SÃO PAULO","1996-01-31",5000,388,"clt","clezio.lauricio991680@gmail.com","47873991680"
"E257C6B10E8B","20780924016","ADMILDA","ARECI","MG","BETIM","1989-06-17",6000,355,"civil_servant","admilda.areci668352@gmail.com","73075668352"
"E07F4711645C","13271675958","SINFOROZA","VALTERLINS","SC","LUIZ ALVES","1975-11-10",6800,283,"clt","sinforoza.valterlins166764@gmail.com","12768166764"
"BAB0318DB389","54357907160","NEIVAM","GECILIANE","RJ","NITERÓI","1986-03-14",6600,746,"clt","neivam.geciliane306366@gmail.com","17608306366"
"55B0ADDABC11","58383636002","KHEVEN","LUZAMIRA","PR","CURITIBA","1963-07-12",4700,657,"clt","kheven.luzamira591896@gmail.com","24256591896"
"E4D40F9C3BFA","57864185336","IVONETO","JERULINO","MG","FORMIGA","1995-12-29",4500,531,"clt","ivoneto.jerulino436540@gmail.com","90434436540"
"202434D5754A","50911172512","ESTEVITA","GELIZA","SC","ITUPORANGA","1963-11-09",4200,811,"retired","estevita.geliza424208@gmail.com","23089424208"
"0437338C71BC","08051475664","CLEUDIS","LAURICIO","SP","GUARULHOS","1982-12-10",7000,378,"clt","cleudis.lauricio968348@gmail.com","50719968348"
"715C9E8C69C7","11106152900","ADEJAILMA","DUARTE","SP","SÃO PAULO","1964-11-02",7000,659,"clt","adejailma.duarte466346@gmail.com","43513466346"
"21379F9BBF3E","24701567836","SHI","DHEISON","ES","SERRA","1983-01-22",4900,452,"clt","shi.dheison301902@gmail.com","49769301902"
"7D2B29472E6D","75201141292","REIDISON","LIDOVINA","MG","SANTA BÁRBARA","1997-03-31",6800,605,"clt","reidison.lidovina196410@gmail.com","53410196410"
"0A43DCD7AB8D","65592920910","NADEGE","ULIO","MG","BELO HORIZONTE","1947-10-07",7000,210,"other","nadege.ulio335094@gmail.com","69569335094"
"B9E466CBDCBF","32150192644","JUVENILZA","FRANCILU","SP","ITAQUAQUECETUBA","1946-04-15",5700,219,"clt","juvenilza.francilu001982@gmail.com","57061001982"
"C23C90A8BFFB","28374787150","HARLETE","PARMENIO","SC","LAGES","1965-11-06",4000,346,"clt","harlete.parmenio549640@gmail.com","86331549640"
